ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
OrdinalEncoder,abalone-3_vs_11,DTREE,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.9969,8.0,0.99792,6.5,0.99792,6.5,solid_angle,7.0,GEO
OrdinalEncoder,kddcup-land_vs_portsweep,DTREE,0.9995200000000001,6.0,1.0,2.0,1.0,2.0,0.9995200000000001,6.0,0.9995200000000001,6.0,0.9995200000000001,6.0,0.9995200000000001,6.0,1.0,2.0,solid_angle,7.0,GEO
OrdinalEncoder,dataset_31_credit-g,DTREE,0.5789599999999999,4.0,0.5977600000000001,2.0,0.5534,8.0,0.60602,1.0,0.58228,3.0,0.5613199999999999,6.0,0.57592,5.0,0.5553199999999999,7.0,solid_angle,7.0,GEO
OrdinalEncoder,dresses-sales,DTREE,0.51878,2.0,0.48894,4.0,0.46308,6.0,0.45916,8.0,0.50566,3.0,0.4616400000000001,7.0,0.48544,5.0,0.5495599999999999,1.0,solid_angle,7.0,GEO
OrdinalEncoder,dermatology,DTREE,0.96512,2.0,0.96278,3.0,0.9622,4.0,0.9553799999999999,6.0,0.96876,1.0,0.95934,5.0,0.9518,8.0,0.9533200000000001,7.0,solid_angle,7.0,GEO
OrdinalEncoder,thyroid-hypothyroid,DTREE,0.92784,4.0,0.93008,3.0,0.9224,7.0,0.92638,5.0,0.933,2.0,0.92588,6.0,0.9515,1.0,0.9172600000000001,8.0,solid_angle,7.0,GEO
OrdinalEncoder,credit-approval,DTREE,0.8054199999999998,3.0,0.7988999999999999,7.0,0.8075000000000001,2.0,0.8019999999999999,5.0,0.8137599999999999,1.0,0.7990999999999999,6.0,0.79674,8.0,0.8021199999999999,4.0,solid_angle,7.0,GEO
OrdinalEncoder,horse-colic-surgical,DTREE,0.8251200000000001,1.0,0.77518,7.0,0.81914,3.0,0.76954,8.0,0.8057399999999999,4.0,0.78072,6.0,0.8050200000000001,5.0,0.8197599999999999,2.0,solid_angle,7.0,GEO
OrdinalEncoder,heart,DTREE,0.73892,3.0,0.74768,1.0,0.72514,4.0,0.72338,5.0,0.71848,6.0,0.71108,7.0,0.70462,8.0,0.7461399999999999,2.0,solid_angle,7.0,GEO
OrdinalEncoder,hepatitis,DTREE,0.6413399999999999,3.0,0.6712600000000001,1.0,0.63436,4.0,0.6519600000000001,2.0,0.59646,6.0,0.63084,5.0,0.52346,7.0,0.49054,8.0,solid_angle,7.0,GEO
