ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
SumEncoder,abalone-3_vs_11,MLP,0.8899000000000001,8.0,0.9969,2.5,0.9969,2.5,0.99792,1.0,0.9958600000000001,5.0,0.99276,6.0,0.99688,4.0,0.99068,7.0,aspect_ratio,1.0,GEO
SumEncoder,kddcup-land_vs_portsweep,MLP,0.97272,6.5,0.9995200000000001,2.0,0.97272,6.5,0.9995200000000001,2.0,0.97272,6.5,0.97272,6.5,0.9995200000000001,2.0,0.99468,4.0,aspect_ratio,1.0,GEO
SumEncoder,dataset_31_credit-g,MLP,0.63598,3.0,0.6219399999999999,6.0,0.6159800000000001,8.0,0.6289399999999999,5.0,0.62062,7.0,0.64518,2.0,0.63118,4.0,0.64842,1.0,aspect_ratio,1.0,GEO
SumEncoder,dresses-sales,MLP,0.5343600000000001,5.0,0.52332,7.0,0.5285399999999999,6.0,0.55018,2.0,0.5582,1.0,0.5368,4.0,0.50946,8.0,0.54642,3.0,aspect_ratio,1.0,GEO
SumEncoder,dermatology,MLP,0.97948,4.0,0.98344,1.0,0.9796600000000002,3.0,0.9779200000000001,5.0,0.9812799999999999,2.0,0.9747600000000001,7.0,0.97788,6.0,0.93822,8.0,aspect_ratio,1.0,GEO
SumEncoder,thyroid-hypothyroid,MLP,0.90738,8.0,0.9191199999999998,6.0,0.94094,1.0,0.9295200000000001,3.0,0.9306,2.0,0.91196,7.0,0.9222,5.0,0.92796,4.0,aspect_ratio,1.0,GEO
SumEncoder,credit-approval,MLP,0.7548999999999999,6.0,0.7700199999999999,5.0,0.73888,7.0,0.72812,8.0,0.77788,3.0,0.8163600000000001,1.0,0.7770600000000001,4.0,0.79982,2.0,aspect_ratio,1.0,GEO
SumEncoder,horse-colic-surgical,MLP,0.1834,6.0,0.32486000000000004,3.0,0.31382,4.0,0.3517,2.0,0.1603,7.0,0.19152,5.0,0.15353999999999998,8.0,0.4395,1.0,aspect_ratio,1.0,GEO
SumEncoder,heart,MLP,0.79752,1.0,0.7411800000000001,5.0,0.74988,4.0,0.75546,3.0,0.73298,6.0,0.72832,7.0,0.7640600000000001,2.0,0.7258399999999999,8.0,aspect_ratio,1.0,GEO
SumEncoder,hepatitis,MLP,0.5113800000000001,8.0,0.69494,4.0,0.7315799999999999,2.0,0.5388,7.0,0.63012,6.0,0.72082,3.0,0.6411399999999999,5.0,0.7482,1.0,aspect_ratio,1.0,GEO
