ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
SumEncoder,abalone-3_vs_11,MLP,0.8125599999999998,8.0,0.99326,2.0,0.99324,3.0,0.99548,1.0,0.99098,5.0,0.9843,7.0,0.99322,4.0,0.98654,6.0,aspect_ratio,7.0,IBA
SumEncoder,kddcup-land_vs_portsweep,MLP,0.9525399999999999,6.5,0.9989399999999999,2.0,0.9525399999999999,6.5,0.9989399999999999,2.0,0.9525399999999999,6.5,0.9525399999999999,6.5,0.9989399999999999,2.0,0.99788,4.0,aspect_ratio,7.0,IBA
SumEncoder,dataset_31_credit-g,MLP,0.4107,2.0,0.39361999999999997,6.0,0.38708,8.0,0.4029599999999999,5.0,0.39328,7.0,0.42241999999999996,1.0,0.40781999999999996,3.0,0.4069,4.0,aspect_ratio,7.0,IBA
SumEncoder,dresses-sales,MLP,0.28704,5.0,0.27613999999999994,7.0,0.28131999999999996,6.0,0.30352,2.0,0.31264000000000003,1.0,0.28928000000000004,4.0,0.26136,8.0,0.30108,3.0,aspect_ratio,7.0,IBA
SumEncoder,dermatology,MLP,0.95968,4.0,0.9670200000000001,1.0,0.95972,3.0,0.95616,7.0,0.963,2.0,0.9498200000000001,8.0,0.9562799999999999,6.0,0.95894,5.0,aspect_ratio,7.0,IBA
SumEncoder,thyroid-hypothyroid,MLP,0.83644,8.0,0.8542200000000001,6.0,0.8920600000000001,1.0,0.8727400000000001,4.0,0.8741399999999999,3.0,0.8386000000000001,7.0,0.8607600000000001,5.0,0.8812399999999999,2.0,aspect_ratio,7.0,IBA
SumEncoder,credit-approval,MLP,0.57662,6.0,0.5938399999999999,5.0,0.5575600000000001,7.0,0.54146,8.0,0.60748,3.0,0.66722,1.0,0.6058800000000001,4.0,0.63344,2.0,aspect_ratio,7.0,IBA
SumEncoder,horse-colic-surgical,MLP,0.12114,5.0,0.18722,4.0,0.20334000000000002,3.0,0.23382,2.0,0.05634,8.0,0.06961999999999999,6.0,0.06874,7.0,0.3666800000000001,1.0,aspect_ratio,7.0,IBA
SumEncoder,heart,MLP,0.6386200000000001,1.0,0.55076,5.0,0.5636599999999999,4.0,0.57312,3.0,0.5403399999999999,6.0,0.53272,7.0,0.5861799999999999,2.0,0.52536,8.0,aspect_ratio,7.0,IBA
SumEncoder,hepatitis,MLP,0.34302,8.0,0.51108,3.0,0.5488000000000001,1.0,0.3763599999999999,7.0,0.42591999999999997,6.0,0.53042,2.0,0.4320000000000001,5.0,0.50042,4.0,aspect_ratio,7.0,IBA
