ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
SumEncoder,abalone-3_vs_11,MLP,0.9940200000000001,3.0,0.9940200000000001,3.0,0.9940200000000001,3.0,0.996,1.0,0.9920200000000001,6.0,0.98606,7.0,0.9940000000000001,5.0,0.9741200000000001,8.0,solid_angle,0.5,REC
SumEncoder,kddcup-land_vs_portsweep,MLP,0.9981200000000001,5.5,0.9990600000000001,2.0,0.9981200000000001,5.5,0.9990600000000001,2.0,0.9981200000000001,5.5,0.9981200000000001,5.5,0.9990600000000001,2.0,0.98302,8.0,solid_angle,0.5,REC
SumEncoder,dataset_31_credit-g,MLP,0.7040000000000001,6.5,0.7040000000000001,6.5,0.711,4.0,0.7190000000000001,2.0,0.7160000000000001,3.0,0.71,5.0,0.7340000000000001,1.0,0.6540000000000001,8.0,solid_angle,0.5,REC
SumEncoder,dresses-sales,MLP,0.5579999999999999,4.0,0.5479999999999999,6.5,0.5519999999999999,5.0,0.568,3.0,0.5720000000000001,2.0,0.5479999999999999,6.5,0.534,8.0,0.5760000000000001,1.0,solid_angle,0.5,REC
SumEncoder,dermatology,MLP,0.96716,4.0,0.9726799999999999,1.0,0.96724,3.0,0.96446,5.0,0.9699,2.0,0.95902,7.0,0.96442,6.0,0.87156,8.0,solid_angle,0.5,REC
SumEncoder,thyroid-hypothyroid,MLP,0.98704,1.0,0.9763,6.0,0.9791,3.0,0.9778399999999999,5.0,0.9785,4.0,0.9497200000000001,7.0,0.9826,2.0,0.94468,8.0,solid_angle,0.5,REC
SumEncoder,credit-approval,MLP,0.76956,6.0,0.7724599999999999,5.0,0.77248,4.0,0.75508,8.0,0.77972,2.0,0.8145,1.0,0.7797,3.0,0.75942,7.0,solid_angle,0.5,REC
SumEncoder,horse-colic-surgical,MLP,0.6233199999999999,3.0,0.6100000000000001,5.0,0.61998,4.0,0.63334,2.0,0.4400000000000001,8.0,0.5599999999999999,7.0,0.5666399999999999,6.0,0.6366599999999999,1.0,solid_angle,0.5,REC
SumEncoder,heart,MLP,0.8074,1.0,0.74816,5.0,0.75556,4.0,0.75926,3.0,0.74444,6.0,0.7370399999999999,7.0,0.77408,2.0,0.73334,8.0,solid_angle,0.5,REC
SumEncoder,hepatitis,MLP,0.8322800000000001,3.0,0.8516199999999999,1.0,0.8451600000000001,2.0,0.8,4.5,0.7548200000000002,6.0,0.8,4.5,0.7484,7.0,0.70968,8.0,solid_angle,0.5,REC
