ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
TargetEncoder,abalone-3_vs_11,KNN,0.8059999999999999,7.0,0.80594,8.0,1.0,2.5,0.9999399999999999,5.0,1.0,2.5,1.0,2.5,1.0,2.5,0.99772,6.0,aspect_ratio,0.5,SPE
TargetEncoder,kddcup-land_vs_portsweep,KNN,0.9999600000000001,4.0,0.9999600000000001,4.0,0.9999600000000001,4.0,0.9999600000000001,4.0,0.9999600000000001,4.0,0.9999600000000001,4.0,0.9999600000000001,4.0,0.9987200000000002,8.0,aspect_ratio,0.5,SPE
TargetEncoder,dataset_31_credit-g,KNN,0.5088199999999999,8.0,0.5255,7.0,0.64884,4.0,0.6522999999999999,3.0,0.66874,2.0,0.6729,1.0,0.57072,6.0,0.64784,5.0,aspect_ratio,0.5,SPE
TargetEncoder,dresses-sales,KNN,0.516,8.0,0.57082,4.0,0.5656399999999999,5.0,0.56486,6.0,0.5847399999999999,2.0,0.58368,3.0,0.55228,7.0,0.5897399999999999,1.0,aspect_ratio,0.5,SPE
TargetEncoder,dermatology,KNN,0.9537600000000002,4.0,0.95836,1.0,0.95146,5.0,0.9449,7.0,0.95468,2.0,0.95444,3.0,0.94226,8.0,0.9478,6.0,aspect_ratio,0.5,SPE
TargetEncoder,thyroid-hypothyroid,KNN,0.77956,8.0,0.9107200000000001,3.0,0.9107,4.0,0.8981200000000001,6.0,0.89184,7.0,0.94018,2.0,0.90496,5.0,0.9479,1.0,aspect_ratio,0.5,SPE
TargetEncoder,credit-approval,KNN,0.7046,2.0,0.7222,1.0,0.6796200000000001,8.0,0.6981399999999999,4.0,0.6935999999999999,5.0,0.69008,6.0,0.6853199999999999,7.0,0.7014199999999999,3.0,aspect_ratio,0.5,SPE
TargetEncoder,horse-colic-surgical,KNN,0.7289800000000001,4.0,0.7552000000000001,1.0,0.72168,5.0,0.71808,6.0,0.70538,8.0,0.74006,3.0,0.7136399999999999,7.0,0.7479199999999999,2.0,aspect_ratio,0.5,SPE
TargetEncoder,heart,KNN,0.5572,7.0,0.5688799999999999,3.0,0.55872,5.0,0.5676,4.0,0.5392600000000001,8.0,0.5957399999999999,1.0,0.5781400000000001,2.0,0.5574,6.0,aspect_ratio,0.5,SPE
TargetEncoder,hepatitis,KNN,0.19496,8.0,0.45,6.0,0.5801000000000001,1.0,0.5205,5.0,0.57444,2.0,0.5514399999999999,3.0,0.36118,7.0,0.53328,4.0,aspect_ratio,0.5,SPE
