ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
TargetEncoder,abalone-3_vs_11,RF,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,0.9999399999999999,7.0,0.99868,8.0,aspect_ratio,0.5,SPE
TargetEncoder,kddcup-land_vs_portsweep,RF,1.0,3.5,1.0,3.5,1.0,3.5,0.95094,8.0,1.0,3.5,1.0,3.5,0.99998,7.0,1.0,3.5,aspect_ratio,0.5,SPE
TargetEncoder,dataset_31_credit-g,RF,0.4504800000000001,8.0,0.50342,7.0,0.5657399999999999,1.0,0.5604399999999999,2.0,0.5475399999999999,4.0,0.55528,3.0,0.5292600000000001,6.0,0.53032,5.0,aspect_ratio,0.5,SPE
TargetEncoder,dresses-sales,RF,0.5214200000000001,7.0,0.51978,8.0,0.5503199999999999,2.0,0.55478,1.0,0.5298,6.0,0.5475399999999999,4.0,0.5452,5.0,0.54928,3.0,aspect_ratio,0.5,SPE
TargetEncoder,dermatology,RF,0.99554,4.0,0.9963,1.0,0.99516,5.0,0.99506,6.0,0.9957,3.0,0.99498,7.0,0.9947799999999999,8.0,0.99616,2.0,aspect_ratio,0.5,SPE
TargetEncoder,thyroid-hypothyroid,RF,0.8423400000000001,8.0,0.90494,6.0,0.9113,4.0,0.91748,2.0,0.9050600000000001,5.0,0.93008,1.0,0.91132,3.0,0.8983800000000001,7.0,aspect_ratio,0.5,SPE
TargetEncoder,credit-approval,RF,0.8700800000000001,1.0,0.8643599999999999,2.0,0.85108,8.0,0.8640800000000001,3.0,0.8521600000000001,7.0,0.8568399999999999,5.0,0.8588000000000001,4.0,0.8522200000000001,6.0,aspect_ratio,0.5,SPE
TargetEncoder,horse-colic-surgical,RF,0.8058,6.0,0.81152,2.0,0.8096800000000002,4.0,0.79818,8.0,0.8024000000000001,7.0,0.8234599999999999,1.0,0.8101200000000001,3.0,0.8084,5.0,aspect_ratio,0.5,SPE
TargetEncoder,heart,RF,0.7988799999999999,2.0,0.80852,1.0,0.7823999999999999,5.0,0.7953600000000001,4.0,0.7566599999999999,8.0,0.7705400000000001,7.0,0.7726,6.0,0.7963,3.0,aspect_ratio,0.5,SPE
TargetEncoder,hepatitis,RF,0.59614,8.0,0.60798,7.0,0.6544399999999999,3.0,0.60832,5.5,0.68112,1.0,0.60832,5.5,0.6218,4.0,0.6591999999999999,2.0,aspect_ratio,0.5,SPE
