ENCODER,DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTENC,RANK_SMOTENC,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,ORDER,ALPHA,UNIT
TargetEncoder,abalone-3_vs_11,SGD,0.99604,2.0,0.996,6.0,0.996,6.0,0.998,1.0,0.99602,3.5,0.99602,3.5,0.996,6.0,0.9681200000000001,8.0,solid_angle,1.0,REC
TargetEncoder,kddcup-land_vs_portsweep,SGD,0.99718,3.5,0.9990600000000001,1.0,0.99718,3.5,0.9981200000000001,2.0,0.98962,5.0,0.9887,6.0,0.98302,7.0,0.96886,8.0,solid_angle,1.0,REC
TargetEncoder,dataset_31_credit-g,SGD,0.6769999999999999,3.0,0.706,2.0,0.5900000000000001,7.0,0.716,1.0,0.637,4.0,0.601,6.0,0.634,5.0,0.485,8.0,solid_angle,1.0,REC
TargetEncoder,dresses-sales,SGD,0.584,1.0,0.552,2.0,0.542,3.0,0.502,5.0,0.472,7.0,0.434,8.0,0.484,6.0,0.53,4.0,solid_angle,1.0,REC
TargetEncoder,dermatology,SGD,0.5760400000000001,6.0,0.8281200000000001,1.0,0.601,5.0,0.6939,2.0,0.5142800000000001,8.0,0.6863999999999999,3.0,0.5635999999999999,7.0,0.6561400000000001,4.0,solid_angle,1.0,REC
TargetEncoder,thyroid-hypothyroid,SGD,0.97438,1.0,0.89692,6.0,0.92376,5.0,0.9639600000000002,2.0,0.96206,3.0,0.8067,7.0,0.93104,4.0,0.5020399999999999,8.0,solid_angle,1.0,REC
TargetEncoder,credit-approval,SGD,0.5710000000000001,5.0,0.5971,1.0,0.5797,3.0,0.57972,2.0,0.5637800000000001,6.5,0.57248,4.0,0.5448999999999999,8.0,0.5637800000000001,6.5,solid_angle,1.0,REC
TargetEncoder,horse-colic-surgical,SGD,0.53,2.0,0.5766399999999999,1.0,0.52332,4.5,0.52332,4.5,0.52332,4.5,0.4166800000000001,8.0,0.47,7.0,0.52332,4.5,solid_angle,1.0,REC
TargetEncoder,heart,SGD,0.4888800000000001,6.0,0.48888,6.0,0.4444,8.0,0.52222,1.0,0.51112,3.0,0.5074000000000001,4.0,0.48888,6.0,0.5148400000000001,2.0,solid_angle,1.0,REC
TargetEncoder,hepatitis,SGD,0.7290399999999999,2.0,0.7097,3.0,0.65808,5.0,0.7290599999999999,1.0,0.6129,7.0,0.63872,6.0,0.6709799999999999,4.0,0.5032399999999999,8.0,solid_angle,1.0,REC
